page_id,total_ads,estimated_audience_size_mean,estimated_audience_size_median,estimated_audience_size_sum,estimated_impressions_mean,estimated_impressions_median,estimated_impressions_sum,estimated_spend_mean,estimated_spend_median,estimated_spend_sum,advocacy_msg_type_illuminating_<lambda>,issue_msg_type_illuminating_<lambda>,covid_topic_illuminating_mean,economy_topic_illuminating_mean,education_topic_illuminating_mean
0541fc1aaaf75ed8f94dfab58954ddea60c98d3e095cf43abd3178e80e260d82,576,752592.18,1000001.0,433493094,22062.37,4499.0,12707926,714.1,149.0,411324,1,1,0.0,0.0,0.0
0545a128ac2e3ceedf0171a570704ebb7b33bacfd53e73dea23688fce29f260e,168,1000001.0,1000001.0,168000168,2632.93,499.0,442332,69.83,49.0,11732,0,0,0.0,0.0,0.0
0545efac01b1d4f72095fa2a4568710189810ee7524dad324331753eeb00e0c6,1,750000.0,750000.0,750000,1000000.0,1000000.0,1000000,74999.0,74999.0,74999,1,1,0.0,0.0,0.0
05472ac15a9506d0f3f125fdca2bb98a7f9c0829b49122a1f4f0489d99a61435,1,30000.0,30000.0,30000,6499.0,6499.0,6499,49.0,49.0,49,1,1,0.0,0.0,0.0
056758645ab7568e29369da8300dac8eaea76ad92c508609c945b3f8ec34e3f0,1,1000001.0,1000001.0,1000001,274999.0,274999.0,274999,749.0,749.0,749,0,1,0.0,0.0,0.0
057391bcf20c60c7541de2b2e940cdaa07d5dd0f53beb349897eff7b79ccc4bb,1,0.0,0.0,0,499.0,499.0,499,49.0,49.0,49,1,1,0.0,1.0,0.0
057bd45dcd72f0ed30a9f774dfbf927fcfa33d6cdf0a599e270f33d78ad8624c,26,714923.65,1000001.0,18588015,11806.69,10999.0,306974,202.85,199.0,5274,0,0,0.0,0.0,0.0
059d3bba6bff79490eb77dbb92bc8ad3646cbf48d74e4c1fdca0428f322120c3,1,75000.0,75000.0,75000,2499.0,2499.0,2499,49.0,49.0,49,1,1,0.0,0.0,0.0
05a8295261e30e276728e94430353f08e88521128a1a5e1fee42d43d9b7207dd,1,0.0,0.0,0,499.0,499.0,499,49.0,49.0,49,0,0,0.0,0.0,0.0
05dccecd5fc4fc971b8cea3e2e69d287519622a2a696a651d0eaa29302c2ac90,16,91875.0,30000.0,1470000,82405.25,39999.0,1318484,1424.0,599.0,22784,1,1,0.0,1.0,0.0
05ec7726c6494a9d6681d969ec41a73ec56bbc02121b3fbac2716756695c3469,1,3000.0,3000.0,3000,1499.0,1499.0,1499,49.0,49.0,49,0,0,0.0,0.0,0.0
060b3441575f903fc96c5d57e22b88f6342bc4e8de9a71929608d4c1d793cdaa,8,30000.0,30000.0,240000,13124.0,6999.0,104992,449.0,249.0,3592,1,0,0.0,0.0,0.0
06237cab4fd84fe57fe10ff841cf40733c8f43a3f54b8d2f700af15644aaf949,1,750000.0,750000.0,750000,374999.0,374999.0,374999,2749.0,2749.0,2749,1,1,0.0,0.0,0.0
062a73845194a53a226450fa498e9a48ff6683ee1f559058a1ccd4d70707581f,118,923856.83,1000001.0,109015106,46982.07,7499.0,5543884,546.46,149.0,64482,1,1,0.09,0.37,0.06
0630aa28c808fb6addbc8ee41a39a8130ac3de5baa898fcc3de346b6e19b756d,6,446666.83,300000.0,2680001,29082.33,2499.0,174494,482.33,49.0,2894,0,0,0.0,0.0,0.0
0636d40807f58c0e0caea80e8d500882aa3c2824e59592a76ee7225c3c93de28,1,300000.0,300000.0,300000,2499.0,2499.0,2499,49.0,49.0,49,1,1,0.0,0.0,0.0
063a37798de8212248c93c1004440b3ac30e03d83757965db592677323f8d06d,2,650000.5,650000.5,1300001,1999.0,1999.0,3998,99.0,99.0,198,0,0,0.0,0.0,0.0
064063f12ecab3c89702c3e7d652b368acba4e585eee57ca87a6b53a5e4117dd,515,466234.17,300000.0,240110596,4325.21,499.0,2227485,102.79,49.0,52935,0,0,0.0,0.01,0.0
0651d604d2ce0b226d41d3845238b0c26d0cc17a13af5ac867fadb4401fdf4d4,285,766800.69,1000001.0,218538198,27241.11,2499.0,7763715,1107.07,49.0,315515,0,0,0.28,0.0,0.0
0664996b3342049ae45ab51bca6be08af9d9a7123944d165c0dd9fb1dcf08c15,7,235714.29,300000.0,1650000,14927.57,12499.0,104493,220.43,249.0,1543,0,0,0.0,0.0,0.0
067234e5632b04e00e9c9dcf1878d1af915329ab0e77e89614535a77c90aafdd,1,30000.0,30000.0,30000,499.0,499.0,499,49.0,49.0,49,0,0,0.0,0.0,0.0
